# Time(s)	Target_GMPP(W)	Proposed_Method(W)
7.5028	131.19	131.15
7.5138	131.19	131.15
7.5249	131.19	131.15
7.5359	131.19	131.15
7.5470	131.19	131.15
7.5580	131.19	131.15
7.5691	131.19	131.15
7.5801	131.19	131.15
7.5912	131.19	131.15
7.6022	131.19	131.15
7.6133	131.19	131.15
7.6243	131.19	131.15
7.6354	131.19	131.15
7.6464	131.19	131.15
7.6575	131.19	131.15
7.6685	131.19	131.15
7.6796	131.19	131.15
7.6906	131.19	131.15
7.7017	131.19	131.15
7.7127	131.19	131.15
7.7238	131.19	131.15
7.7348	131.19	131.15
7.7459	131.19	131.15
7.7569	131.19	131.15
7.7680	131.19	131.15
7.7790	131.19	131.15
7.7901	131.19	131.15
7.8011	131.19	131.15
7.8122	131.19	131.15
7.8232	131.19	131.15
7.8343	131.19	131.15
7.8453	131.19	131.15
7.8564	131.19	131.15
7.8674	131.19	131.15
7.8785	131.19	131.15
7.8895	131.19	131.15
7.9006	131.19	131.15
7.9116	131.19	131.15
7.9227	131.19	131.15
7.9337	131.19	131.15
7.9448	131.19	131.15
7.9558	131.19	131.15
7.9669	131.19	131.15
7.9779	131.19	131.15
7.9890	131.19	130.94
7.9944	131.19	152.47
8.0000	175.23	175.27
8.0054	175.23	113.63
8.0110	175.23	175.27
8.0165	175.23	0.05
8.0221	175.23	0.05
8.0275	175.23	90.40
8.0331	175.23	90.40
8.0386	175.23	0.05
8.0442	175.23	16.94
8.0496	175.23	85.76
8.0552	175.23	68.45
8.0607	175.23	19.89
8.0663	175.23	31.71
8.0717	175.23	68.87
8.0773	175.23	84.49
8.0828	175.23	31.71
8.0884	175.23	56.20
8.0938	175.23	96.32
8.0994	175.23	100.54
8.1049	175.23	56.63
8.1105	175.23	15.25
8.1159	175.23	100.54
8.1215	175.23	106.45
8.1270	175.23	15.25
8.1326	175.23	39.31
8.1380	175.23	106.87
8.1436	175.23	106.45
8.1491	175.23	39.74
8.1547	175.23	91.67
8.1601	175.23	142.34
8.1657	175.23	152.89
8.1712	175.23	103.92
8.1768	175.23	142.34
8.1822	175.23	175.27
8.1878	175.23	175.69
8.1933	175.23	158.38
8.1989	175.23	158.80
8.2043	175.23	175.27
8.2099	175.23	174.85
8.2154	175.23	164.29
8.2210	175.23	173.58
8.2320	175.23	174.85
8.2431	175.23	175.27
8.2485	175.23	170.63
8.2541	175.23	175.69
8.2596	175.23	114.89
8.2652	175.23	114.89
8.2706	175.23	175.27
8.2762	175.23	175.69
8.2817	175.23	167.25
8.2873	175.23	162.60
8.2927	175.23	175.69
8.2983	175.23	175.27
8.3038	175.23	162.60
8.3094	175.23	171.47
8.3148	175.23	175.27
8.3204	175.23	174.22
8.3315	175.23	174.43
8.3425	175.23	174.64
8.3536	175.23	175.06
8.3646	175.23	175.06
8.3757	175.23	175.06
8.3867	175.23	175.06
8.3978	175.23	175.06
8.4088	175.23	175.06
8.4199	175.23	175.06
8.4309	175.23	175.06
8.4420	175.23	175.06
8.4530	175.23	175.06
8.4641	175.23	175.06
8.4751	175.23	175.06
8.4862	175.23	175.06
8.4972	175.23	175.06
8.5083	175.23	175.06
8.5193	175.23	175.06
8.5304	175.23	175.06
8.5414	175.23	175.06
8.5525	175.23	175.06
8.5635	175.23	175.06
8.5746	175.23	175.06
8.5856	175.23	175.06
8.5967	175.23	175.06
8.6077	175.23	175.06
8.6188	175.23	175.06
8.6298	175.23	175.06
8.6409	175.23	175.06
8.6519	175.23	175.06
8.6630	175.23	175.06
8.6740	175.23	175.06
8.6851	175.23	175.06
8.6961	175.23	175.06
8.7072	175.23	175.06
8.7182	175.23	175.06
8.7293	175.23	175.06
8.7403	175.23	175.06
8.7514	175.23	175.06
8.7624	175.23	175.06
8.7735	175.23	175.06
8.7845	175.23	175.06
8.7956	175.23	175.06
8.8066	175.23	175.06
8.8177	175.23	175.06
8.8287	175.23	175.06
8.8398	175.23	175.06
8.8508	175.23	175.06
8.8619	175.23	175.06
8.8729	175.23	175.06
8.8840	175.23	175.06
8.8950	175.23	175.06
8.9061	175.23	175.06
8.9171	175.23	175.06
8.9282	175.23	175.06
8.9392	175.23	175.06
8.9503	175.23	175.06
8.9613	175.23	175.06
8.9724	175.23	175.06
8.9834	175.23	175.06
8.9945	175.23	175.06
9.0055	175.23	175.06
9.0166	175.23	175.06
9.0276	175.23	175.06
9.0387	175.23	175.06
9.0497	175.23	175.06
9.0608	175.23	175.06
9.0718	175.23	175.06
9.0829	175.23	175.06
9.0939	175.23	175.06
9.1050	175.23	175.06
9.1160	175.23	175.06
9.1271	175.23	175.06
9.1381	175.23	175.06
9.1492	175.23	175.06
9.1602	175.23	175.06
9.1713	175.23	175.06
9.1823	175.23	175.06
9.1934	175.23	175.06
9.2044	175.23	175.06
9.2155	175.23	175.06
9.2265	175.23	175.06
9.2376	175.23	175.06
9.2486	175.23	175.06
9.2597	175.23	175.06
9.2707	175.23	175.06
9.2818	175.23	175.06
9.2928	175.23	175.06
9.3039	175.23	175.06
9.3149	175.23	175.06
9.3260	175.23	175.06
9.3370	175.23	175.06
9.3481	175.23	175.06
9.3591	175.23	175.06
9.3702	175.23	175.06
9.3812	175.23	175.06
9.3923	175.23	175.06
9.4033	175.23	175.06
9.4144	175.23	175.06
9.4254	175.23	175.06
9.4365	175.23	175.06
9.4475	175.23	175.06
9.4586	175.23	175.06
9.4696	175.23	175.06
9.4807	175.23	175.06
9.4917	175.23	175.06
9.5028	175.23	175.06
9.5138	175.23	175.06
9.5249	175.23	175.06
9.5359	175.23	175.06
9.5470	175.23	175.06
9.5580	175.23	175.06
9.5691	175.23	175.06
9.5801	175.23	175.06
9.5912	175.23	175.06
9.6022	175.23	175.06
9.6133	175.23	175.06
9.6243	175.23	175.06
9.6354	175.23	175.06
9.6464	175.23	175.06
9.6575	175.23	175.06
