# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
63.8532	142.53	130.28	140.37
63.9755	142.53	131.00	140.37
64.0979	142.53	131.72	140.47
64.2202	142.53	133.16	140.57
64.3425	142.53	135.32	140.68
64.4648	142.53	137.48	140.78
64.5872	142.53	139.65	140.88
64.7095	142.53	139.65	140.99
64.8318	142.53	139.65	140.99
64.9541	142.53	138.20	140.88
65.0765	142.53	138.20	140.78
65.1988	142.53	138.20	140.68
65.3211	142.53	136.76	140.57
65.4434	142.53	134.60	140.47
65.5657	142.53	131.00	140.37
65.6881	142.53	129.55	140.37
65.8104	142.53	127.39	140.37
65.9327	142.53	127.39	140.37
66.0550	142.53	127.39	140.37
66.1774	142.53	127.39	140.37
66.2997	142.53	128.11	140.37
66.4220	142.53	131.00	140.47
66.5443	142.53	132.44	140.57
66.6667	142.53	134.60	140.68
66.7890	142.53	135.32	140.78
66.9113	142.53	136.04	140.88
67.0336	142.53	136.76	140.99
67.1560	142.53	138.20	141.19
67.2783	142.53	138.93	141.29
67.4006	142.53	139.65	141.40
67.5229	142.53	140.37	141.50
67.6453	142.53	140.37	141.60
67.7676	142.53	141.09	141.71
67.8899	142.53	141.09	141.81
68.0122	142.53	140.37	141.81
68.1346	142.53	140.37	141.71
68.2569	142.53	140.37	141.60
68.3792	142.53	138.93	141.50
68.5015	142.53	137.48	141.40
68.6239	142.53	136.76	141.29
68.7462	142.53	136.04	141.19
68.8685	142.53	135.32	141.09
68.9908	142.53	135.32	141.09
69.1131	142.53	135.32	141.09
69.2355	142.53	135.32	141.09
69.3578	142.53	136.76	141.09
69.4801	142.53	139.65	141.09
69.6024	142.53	139.65	141.09
69.7248	142.53	139.65	141.09
69.8471	142.53	139.65	141.09
69.9694	142.53	138.20	141.09
70.0917	142.53	138.20	141.09
70.2141	142.53	138.20	140.99
70.3364	142.53	136.76	140.88
70.4587	142.53	131.72	140.78
70.5810	142.53	128.83	140.68
70.7034	142.53	125.23	140.57
70.8257	142.53	122.35	140.47
70.9480	142.53	118.02	140.37
71.0703	142.53	117.30	140.37
71.1927	142.53	117.30	140.37
71.3150	142.53	117.30	140.37
